terminal:PGW01291;NSU:001742;NSU:001742;NSU:001742;NSU:001742
002; 165067230000009029; 165067230000009029; 165067230000009029; 165067230000009029
003; 002000; 002000; 002000; 002000
004; 000000003800; 000000003800; 000000003800; 000000003800
005;;;;
006;;;;
007; 0705153322; 0705153322; 0705153322; 0705153322
008;;;;
009;;;;
010;;;;
011; 001742; 001742; 001742; 001742
012; 121414; 121414; 121414; 121414
013; 0705; 0705; 0705; 0705
014; 2112; 2112; 2112; 2112
015;;;;
016;;;;
018; 7512; 7512;;
019; 076; 076; 076; 076
022; 851; 851;;
023;;;;
024; 100; 100;;
025;;;;
026;;;;
028;;;;
029;;;;
032; 0451080000000; 0451080000000; 0451080000000; 0451080000000
033;;;;
035; 375067230000009029=21126010000089500000; 375067230000009029=21126010000089500000;;
036;;;;
037; 000000001742; 000000001742; 000000001742; 000000001742
038;;; 228225; 228225
039;;; 00; 00
041; PGW01291; PGW01291; PGW01291; PGW01291
042; 0067951300     ; 0067951300     ; 0067951300     ; 0067951300     
043; ELO CERTIFICATION 16   Porto Alegre  076; ELO CERTIFICATION 16   Porto Alegre  076; ELO CERTIFICATION 16   Porto Alegre  076; ELO CERTIFICATION 16   Porto Alegre  076
045;;;;
046;;;;
047;;;;
048; 040*CNP01423182663000170*CDT002T0*PRD003071; 040*CNP01423182663000170*CDT002T0*PRD003071;; 008*RSP0011
049; 986; 986; 986; 986
050;;;;
051;;;;
052; �$kե�@� ; �ё��j� ;;
053; 00020001009C73B7;;;
054;;;;
055;;;;
058; 034Av; 034Av;;
059;;;;
060; 013000001000P500; 013000001000P500;;
062;;;;
063;;;;
090;;;;
095;;;;
106;;;;
107;;;;
113;;;;
121;;;;
122;;;;
124;;;;
125;;;;
126;;;;
127; 00512181; 00512181; 00512181; 00512181
